2015-08-25 12:07:18,309 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.majaro:gridwars:0.0.1-SNAPSHOT @ C:\Users\jhill\Documents\Graduate Week\Grad Project\gridwars\pom.xml.
2015-08-25 13:59:29,313 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jhill\Documents\Graduate Week\Grad Project\gridwars\src\test\resources
2015-08-25 13:59:34,193 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-25 13:59:34,194 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-25 13:59:34,196 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-25 13:59:34,197 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jhill\Documents\Graduate Week\Grad Project\gridwars\src\test\resources
2015-08-25 13:59:56,387 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-25 13:59:56,390 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-25 13:59:56,392 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-25 13:59:56,393 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jhill\Documents\Graduate Week\Grad Project\gridwars\src\test\resources
2015-08-25 14:00:51,401 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-25 14:00:51,403 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-25 14:00:51,404 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-25 14:00:51,405 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jhill\Documents\Graduate Week\Grad Project\gridwars\src\test\resources
